eval_total_steps,l2,gail,tdil
3780,50,50,23
3785,50,50,23
3790,50,50,23
3795,50,50,23
3800,50,50,23
3805,50,50,23
3810,50,50,23
3815,50,50,23
3820,50,23,23
3825,50,50,23
3830,50,50,23
3835,50,50,23
3840,50,50,23
3845,50,50,23
3850,50,50,23
3855,50,50,23
3860,50,50,23
3865,50,50,23
3870,50,50,23
3875,50,50,23
3880,50,50,23
3885,50,50,23
3890,50,50,23
3895,50,50,23
3900,50,50,23
3905,50,50,23
3910,50,50,23
3915,50,50,23
3920,50,50,23
3925,50,50,23
3930,50,50,23
3935,50,50,23
3940,50,50,23
3945,50,50,23
3950,50,50,23
3955,50,50,23
3960,50,50,23
3965,50,50,23
3970,50,50,23
3975,50,50,23
3980,50,50,23
3985,50,50,23
3990,50,50,23
3995,50,50,23
4000,50,50,23
4005,50,50,23
4010,50,50,23
4015,50,50,23
4020,50,50,23
4025,50,50,23
4030,50,50,23
4035,50,50,23
4040,50,50,23
4045,50,50,23
4050,50,23,23
4055,50,50,23
4060,50,50,23
4065,50,50,23
4070,50,50,23
4075,50,50,23
4080,50,50,23
4085,50,50,23
4090,50,50,23
4095,50,50,23
4100,50,50,23
4105,50,50,23
4110,50,23,23
4115,50,50,23
4120,50,50,23
4125,50,50,23
4130,50,50,23
4135,50,50,23
4140,50,50,23
4145,50,50,23
4150,50,50,23
4155,50,50,23
4160,50,50,23
4165,50,50,23
4170,50,50,23
4175,50,50,23
4180,50,50,23
4185,50,50,23
4190,50,50,23
4195,50,50,23
4200,50,50,23
4205,50,50,23
4210,50,50,23
4215,50,50,23
4220,50,50,23
4225,50,23,23
4230,50,50,23
4235,50,50,23
4240,50,50,23
4245,50,50,23
4250,50,50,23
4255,50,50,23
4260,50,50,23
4265,50,50,23
4270,50,50,23
4275,50,23,23
4280,50,50,23
4285,50,50,23
4290,50,50,23
4295,50,50,23
4300,50,50,23
4305,50,50,23
4310,50,50,23
4315,50,50,23
4320,50,50,23
4325,50,50,23
4330,50,50,23
4335,50,50,23
4340,50,50,23
4345,50,50,23
4350,50,50,23
4355,50,50,23
4360,50,50,23
4365,50,50,23
4370,50,50,23
4375,50,50,23
4380,50,50,23
4385,50,50,23
4390,50,23,23
4395,50,50,23
4400,50,50,23
4405,50,50,23
4410,50,50,23
4415,50,50,23
4420,50,50,23
4425,50,50,23
4430,50,50,23
4435,50,50,23
4440,50,50,23
4445,50,50,23
4450,50,50,23
4455,50,50,23
4460,50,50,23
4465,50,50,23
4470,50,50,23
4475,50,50,23
4480,50,50,23
4485,50,50,23
4490,50,50,23
4495,50,50,23
4500,50,50,23
4505,50,50,23
4510,50,50,23
4515,50,50,23
4520,50,50,23
4525,50,50,23
4530,50,23,23
4535,50,50,23
4540,50,50,23
4545,50,50,23
4550,50,50,23
4555,50,50,23
4560,50,50,23
4565,50,50,23
4570,50,50,23
4575,50,50,23
4580,50,50,23
4585,50,50,23
4590,50,50,23
4595,50,50,23
4600,50,50,23
4605,50,50,23
4610,50,50,23
4615,50,50,23
4620,50,50,23
4625,50,50,23
4630,50,50,23
4635,50,50,23
4640,50,50,23
4645,50,50,23
4650,50,50,23
4655,50,50,23
4660,50,50,23
4665,50,50,23
4670,50,50,23
4675,50,50,23
4680,50,50,23
4685,50,50,23
4690,50,50,23
4695,50,23,23
4700,50,50,23
4705,50,50,23
4710,50,50,23
4715,50,50,23
4720,50,50,23
4725,50,50,23
4730,50,50,23
4735,50,50,23
4740,50,50,23
4745,50,50,23
4750,50,50,23
4755,50,50,23
4760,50,50,23
4765,50,50,23
4770,50,50,23
4775,50,50,23
4780,50,50,23
4785,50,50,23
4790,50,50,23
4795,50,50,23
4800,50,50,23
4805,50,50,23
4810,50,50,23
4815,50,50,23
4820,50,50,23
4825,50,50,23
4830,50,50,23
4835,50,50,23
4840,50,50,23
4845,50,50,23
4850,50,50,23
4855,50,50,23
4860,50,50,23
4865,50,50,23
4870,50,50,23
4875,50,50,23
4880,50,50,23
4885,50,50,23
4890,50,50,23
4895,50,50,23
4900,50,50,23
4905,50,50,23
4910,50,50,23
4915,50,50,23
4920,50,50,23
4925,50,50,23
4930,50,50,23
4935,50,50,23
4940,50,50,23
4945,50,50,23
4950,50,50,23
4955,50,50,23
4960,50,50,23
4965,50,50,23
4970,50,50,23
4975,50,50,23
4980,50,50,23
4985,50,50,23
4990,50,50,23
4995,50,50,23
5000,50,50,23
5005,50,50,23
5010,50,50,23
5015,50,50,23
5020,50,50,23
5025,50,50,23
5030,50,50,23
5035,50,50,23
5040,50,50,23
5045,50,50,23
5050,50,50,23
5055,50,50,23
5060,50,50,23
5065,50,50,23
5070,50,50,23
5075,50,23,23
5080,50,50,23
5085,50,50,23
5090,50,50,23
5095,50,50,23
5100,50,50,23
5105,50,50,23
5110,50,50,23
5115,50,50,23
5120,50,50,23
5125,50,50,23
5130,50,50,23
5135,50,50,23
5140,50,50,23
5145,50,50,23
5150,50,50,23
5155,50,50,23
5160,50,50,23
5165,50,50,23
5170,50,50,23
5175,50,50,23
5180,50,50,23
5185,50,23,23
5190,50,50,23
5195,50,50,23
5200,50,50,23
5205,50,50,23
5210,50,50,23
5215,50,50,23
5220,50,50,23
5225,50,50,23
5230,50,50,23
5235,50,50,23
5240,50,50,23
5245,50,50,23
5250,50,50,23
5255,50,50,23
5260,50,50,23
5265,50,50,23
5270,50,50,23
5275,50,50,23
5280,50,50,23
5285,50,50,23
5290,50,23,23
5295,50,50,23
5300,50,50,23
5305,50,50,23
5310,50,23,23
5315,50,23,23
5320,50,50,23
5325,50,50,23
5330,50,50,23
5335,50,50,23
5340,50,50,23
5345,50,50,23
5350,50,50,23
5355,50,50,23
5360,50,50,23
5365,50,50,23
5370,50,50,23
5375,50,50,23
5380,50,50,23
5385,50,23,23
5390,50,50,23
5395,50,50,23
5400,50,50,23
5405,50,50,23
5410,50,23,23
5415,50,50,23
5420,50,50,23
5425,50,50,23
5430,50,50,23
5435,50,50,23
5440,50,23,23
5445,50,23,23
5450,50,50,23
5455,50,50,23
5460,50,23,23
5465,50,23,23
5470,50,50,23
5475,50,23,23
5480,50,50,23
5485,50,23,23
5490,50,23,23
